"","id","lat","long","type_of_waterbody","water_source","water_availability_months","aquaculture","area","volume","last_edit","block","district","state","country","postcode"
"1",193611678,"20.41625 ","78.524733 ","earthen_pond","rain",4,"yes",400,2800,"2021-07-15T07:43:55","Ralegaon","Yavatmal","Maharashtra","India","445402"
"2",192933081,"20.275288"," 78.660631","earthen_pond","rain",6,"yes",500,1500,"2021-07-13T05:35:44","Ralegaon","Yavatmal","Maharashtra","India","445402"
"3",192931075,"20.276453"," 78.657337","earthen_pond","rain",12,"yes",500,1500,"2021-07-13T05:22:23","Ralegaon","Yavatmal","Maharashtra","India","445402"
"4",193584462,"20.242205"," 78.711815","earthen_pond","rain",12,"no",2500,37500,"2021-07-15T05:24:54","Ralegaon","Yavatmal","Maharashtra","India","445402"
"5",191503994,"-0.000001"," -0.000001","earthen_pond","rain",12,"yes",-67,-402,"2021-07-07T05:48:27","Ralegaon","Yavatmal","Maharashtra","India","445402"
"6",191600884,"20.743951"," 78.623382","earthen_pond","rain",8,"no",400,4000,"2021-07-07T11:05:41","Ralegaon","Yavatmal","Maharashtra","India","445402"
"7",193571271,"20.424257"," 78.584715","earthen_pond","rain",6,"yes",625,3125,"2021-07-15T03:34:03","Ralegaon","Yavatmal","Maharashtra","India","445402"
"8",192081701,"20.392114"," 78.575844","earthen_pond","rain",6,"yes",625,3750,"2021-07-09T06:28:50","Ralegaon","Yavatmal","Maharashtra","India","445402"
"9",192082128,"20.398392"," 78.569547","earthen_pond","rain",4,"yes",625,3125,"2021-07-09T06:31:44","Ralegaon","Yavatmal","Maharashtra","India","445402"
"10",192089556,"20.385414"," 78.557745","earthen_pond","rain",4,"yes",225,1125,"2021-07-09T07:31:53","Ralegaon","Yavatmal","Maharashtra","India","445402"
"11",192093772,"20.385414"," 78.557745","earthen_pond","rain",4,"yes",400,2000,"2021-07-09T07:59:30","Ralegaon","Yavatmal","Maharashtra","India","445402"
"12",192094963,"20.386172"," 78.5581 0","earthen_pond","rain",4,"yes",225,1125,"2021-07-09T08:06:00","Ralegaon","Yavatmal","Maharashtra","India","445402"
"13",192098563,"20.385414"," 78.557745","earthen_pond","rain",4,"yes",625,3125,"2021-07-09T08:24:44","Ralegaon","Yavatmal","Maharashtra","India","445402"
"14",192100924,"20.385414"," 78.557745","earthen_pond","rain",3,"yes",625,3125,"2021-07-09T08:34:53","Ralegaon","Yavatmal","Maharashtra","India","445402"
"15",192117771,"20.386172"," 78.5581 0","earthen_pond","rain",6,"yes",625,3125,"2021-07-09T10:03:55","Ralegaon","Yavatmal","Maharashtra","India","445402"
"16",192119056,"20.385414"," 78.557745","earthen_pond","rain",8,"yes",900,5400,"2021-07-09T10:12:17","Ralegaon","Yavatmal","Maharashtra","India","445402"
